"Victim.s.race","Victim.s.gender","Date.of.Incident..month.day.year.","City","State","year"
"Unknown race","Male","07/10/2018","Honolulu","HI","2018"
"White","Male","07/10/2018","Lawtey","FL","2018"
"White","Male","07/10/2018","Auburn","CA","2018"
"Black","Male","05/10/2018","Nashville","TN","2018"
"White","Male","05/10/2018","Chiloquin","OR","2018"
"Unknown race","Male","05/10/2018","Hayti","MO","2018"
"Black","Male","04/10/2018","Scarbro","WV","2018"
"White","Male","03/10/2018","Greenville","MS","2018"
"Black","Male","03/10/2018","Memphis","TN","2018"
"Black","Male","03/10/2018","Millbrae","CA","2018"
"White","Male","02/10/2018","Mableton","GA","2018"
"Black","Female","02/10/2018","Victorville","CA","2018"
"White","Male","01/10/2018","Hastings","MN","2018"
"Unknown race","Male","01/10/2018","Houston","TX","2018"
"White","Male","01/10/2018","Orlando","FL","2018"
"Black","Male","30/09/2018","Portland","OR","2018"
"White","Male","30/09/2018","Greenback","TN","2018"
"White","Male","29/09/2018","Epping","NH","2018"
"White","Male","29/09/2018","Nampa","ID","2018"
"White","Male","29/09/2018","Okmulgee","OK","2018"
"Black","Male","28/09/2018","Houston","TX","2018"
"White","Male","28/09/2018","Johns Island","SC","2018"
"White","Male","27/09/2018","Enid","OK","2018"
"Hispanic","Male","27/09/2018","Las Cruces","NM","2018"
"Hispanic","Male","27/09/2018","Honolulu","HI","2018"
"Black","Male","27/09/2018","Palatka","FL","2018"
"Unknown race","Male","27/09/2018","Kennewick","WA","2018"
"White","Male","27/09/2018","Hammond","LA","2018"
"Black","Male","26/09/2018","Newark","NJ","2018"
"Black","Male","25/09/2018","Orlando","FL","2018"
"Black","Male","25/09/2018","Newark","NJ","2018"
"Hispanic","Male","25/09/2018","Stanfordville","NY","2018"
"White","Male","24/09/2018","Peoria","AZ","2018"
"White","Male","24/09/2018","Williamsburg","KY","2018"
"Hispanic","Male","24/09/2018","Los Angeles","CA","2018"
"Black","Male","23/09/2018","Baltimore","MD","2018"
"Unknown race","Male","23/09/2018","Oak Harbor","WA","2018"
"White","Male","23/09/2018","Harrison","TN","2018"
"Unknown race","Male","23/09/2018","Reno","NV","2018"
"White","Male","22/09/2018","Henderson","NV","2018"
"White","Male","20/09/2018","Longmont","CO","2018"
"Hispanic","Male","20/09/2018","Miami","FL","2018"
"White","Male","20/09/2018","Honolulu","HI","2018"
"Hispanic","Male","19/09/2018","Los Angeles","CA","2018"
"Asian","Male","19/09/2018","Middleton","WI","2018"
"Unknown race","Male","19/09/2018","League City","TX","2018"
"White","Male","19/09/2018","Masontown","PA","2018"
"White","Male","19/09/2018","Eagle Point","OR","2018"
"Hispanic","Male","19/09/2018","Los Angeles","CA","2018"
"White","Male","18/09/2018","Marysville","WA","2018"
"White","Male","18/09/2018","Virginia Beach","VA","2018"
"White","Male","18/09/2018","Renfrew","PA","2018"
"Unknown race","Male","18/09/2018","Garden Grove","CA","2018"
"Hispanic","Male","17/09/2018","Temple Hills","MD","2018"
"White","Female","17/09/2018","Flushing","NY","2018"
"White","Male","17/09/2018","Hopkinsville","KY","2018"
"Hispanic","Male","16/09/2018","Lancaster","PA","2018"
"White","Male","16/09/2018","Garden Plain","KS","2018"
"Black","Male","16/09/2018","Shreveport","LA","2018"
"Unknown race","Male","16/09/2018","Walla Walla","WA","2018"
"White","Male","16/09/2018","Manitowoc","WI","2018"
"White","Male","15/09/2018","Ankeny","IA","2018"
"Unknown race","Male","15/09/2018","Vernon Hills","IL","2018"
"White","Male","15/09/2018","Jacksonville","AR","2018"
"Black","Male","15/09/2018","Greensboro","MD","2018"
"Hispanic","Female","15/09/2018","Laredo","TX","2018"
"Black","Male","14/09/2018","Fort Worth","TX","2018"
"White","Male","14/09/2018","Mesa","AZ","2018"
"Black","Male","14/09/2018","Detroit","MI","2018"
"Hispanic","Male","14/09/2018","Laredo","TX","2018"
"Black","Male","14/09/2018","Dover","NC","2018"
"Hispanic","Transgender","14/09/2018","Laredo","TX","2018"
"Unknown race","Male","14/09/2018","Las Cruces","NM","2018"
"Unknown race","Male","13/09/2018","Henderson","NV","2018"
"White","Female","13/09/2018","Laredo","TX","2018"
"White","Male","12/09/2018","Cumming","GA","2018"
"Hispanic","Male","12/09/2018","Buffalo","NY","2018"
"Black","Male","12/09/2018","Gary","IN","2018"
"White","Male","11/09/2018","Georgetown","KY","2018"
"Unknown race","Male","10/09/2018","Tucson","AZ","2018"
"White","Male","10/09/2018","Spanaway","WA","2018"
"Black","Male","09/09/2018","Greenville","NC","2018"
"Black","Female","09/09/2018","Missouri City","TX","2018"
"Unknown race","Male","09/09/2018","Stanwood","WA","2018"
"Unknown race","Male","08/09/2018","Houston","TX","2018"
"Black","Male","07/09/2018","Pawtucket","RI","2018"
"Unknown race","Male","07/09/2018","Greenville","MS","2018"
"White","Male","07/09/2018","Citronelle","AL","2018"
"Hispanic","Male","06/09/2018","Cincinnati","OH","2018"
"White","Male","06/09/2018","Moultrie","GA","2018"
"White","Female","06/09/2018","Galveston","TX","2018"
"Black","Male","06/09/2018","Sacramento","CA","2018"
"Black","Male","06/09/2018","Dallas","TX","2018"
"White","Male","05/09/2018","North Knobs","NC","2018"
"Black","Male","05/09/2018","Hollywood","FL","2018"
"White","Male","05/09/2018","Morris","AL","2018"
"White","Male","04/09/2018","Westminster","CO","2018"
"Black","Male","03/09/2018","Covington","GA","2018"
"White","Male","03/09/2018","Cheney","WA","2018"
"Hispanic","Male","03/09/2018","Bernalillo","NM","2018"
"White","Female","03/09/2018","Jackson","CA","2018"
"Black","Male","01/09/2018","Arlington","TX","2018"
"White","Male","31/08/2018","Fairview","TN","2018"
"White","Male","31/08/2018","Sedalia","CO","2018"
"White","Male","31/08/2018","Floral City","FL","2018"
"White","Female","30/08/2018","Beverly Hills","FL","2018"
"Hispanic","Female","30/08/2018","South Pasadena","CA","2018"
"White","Male","29/08/2018","Madison Township","OH","2018"
"Black","Male","29/08/2018","Houston","TX","2018"
"White","Male","28/08/2018","Redlands","CA","2018"
"Black","Male","28/08/2018","Harbeson","DE","2018"
"Hispanic","Male","28/08/2018","Tarboro","NC","2018"
"White","Male","27/08/2018","Phoenix","AZ","2018"
"White","Male","27/08/2018","Phoenix","AZ","2018"
"White","Male","27/08/2018","Redding","CA","2018"
"White","Male","27/08/2018","Port Allegany","PA","2018"
"Unknown race","Male","27/08/2018","Houston","TX","2018"
"Unknown race","Male","27/08/2018","Richmond","KY","2018"
"Unknown race","Male","27/08/2018","Perrysburg","OH","2018"
"Hispanic","Male","26/08/2018","Miami","FL","2018"
"White","Female","26/08/2018","Blacksburg","SC","2018"
"Unknown race","Male","25/08/2018","Las Vegas","NV","2018"
"White","Male","25/08/2018","Christiansburg","VA","2018"
"White","Male","25/08/2018","York","PA","2018"
"White","Female","25/08/2018","Alamosa","CO","2018"
"Unknown race","Male","25/08/2018","Westminster","CO","2018"
"Unknown race","Male","25/08/2018","Charlotte","NC","2018"
"Black","Male","24/08/2018","Cincinnati","OH","2018"
"Hispanic","Male","24/08/2018","Bakersfield","CA","2018"
"White","Male","24/08/2018","Enoree","SC","2018"
"Black","Male","24/08/2018","Tulsa","OK","2018"
"Unknown race","Male","24/08/2018","Festus","MO","2018"
"White","Female","23/08/2018","Columbus","OH","2018"
"Unknown race","Male","23/08/2018","Shoreline","WA","2018"
"Unknown race","Male","23/08/2018","Lake City","PA","2018"
"Unknown race","Male","23/08/2018","Santa Ana","CA","2018"
"Hispanic","Female","23/08/2018","Los Lunas","NM","2018"
"White","Male","20/08/2018","Rochester","NH","2018"
"Unknown race","Male","20/08/2018","San Juan Capistrano","CA","2018"
"Black","Male","20/08/2018","Philadelphia","PA","2018"
"Black","Male","19/08/2018","Atlanta","GA","2018"
"Unknown race","Male","19/08/2018","Spokane Valley","WA","2018"
"White","Male","19/08/2018","Great Falls","MT","2018"
"Black","Male","19/08/2018","Bakersfield","CA","2018"
"Hispanic","Male","18/08/2018","Denair","CA","2018"
"Hispanic","Male","18/08/2018","Phoenix","AZ","2018"
"White","Male","18/08/2018","Culver City","CA","2018"
"Hispanic","Male","17/08/2018","Dallas","TX","2018"
"Black","Male","17/08/2018","Austin","TX","2018"
"Black","Male","16/08/2018","Wasilla","AK","2018"
"Hispanic","Male","16/08/2018","Midland","TX","2018"
"Hispanic","Male","16/08/2018","Fallbrook","CA","2018"
"White","Male","15/08/2018","Glen St. Mary","FL","2018"
"White","Male","14/08/2018","Creston","IA","2018"
"Hispanic","Male","14/08/2018","Fresno","CA","2018"
"Unknown race","Male","13/08/2018","Richton Park","IL","2018"
"Black","Male","13/08/2018","Oklahoma City","OK","2018"
"Black","Male","13/08/2018","Milwaukee","WI","2018"
"Unknown race","Male","13/08/2018","Redwood City","CA","2018"
"White","Male","12/08/2018","Hawkins","WI","2018"
"Black","Male","12/08/2018","Amherst","VA","2018"
"Unknown race","Female","12/08/2018","Flint","TX","2018"
"Hispanic","Male","12/08/2018","Los Angeles","CA","2018"
"Unknown race","Male","11/08/2018","Akron","OH","2018"
"White","Male","10/08/2018","Denham Springs","LA","2018"
"Black","Male","09/08/2018","Columbus","OH","2018"
"Black","Male","09/08/2018","Las Vegas","NV","2018"
"Black","Male","09/08/2018","Hyattsville","MD","2018"
"Black","Male","09/08/2018","Philadelphia","PA","2018"
"White","Male","08/08/2018","Durham","NC","2018"
"Black","Male","08/08/2018","Hollywood","FL","2018"
"Black","Male","08/08/2018","Omaha","NE","2018"
"Black","Male","08/08/2018","San Diego","CA","2018"
"White","Male","08/08/2018","Carthage","TN","2018"
"White","Male","07/08/2018","Bloomington","IN","2018"
"Hispanic","Male","07/08/2018","Los Angeles","CA","2018"
"Hispanic","Male","07/08/2018","Scottsdale","AZ","2018"
"White","Male","07/08/2018","Shreveport","LA","2018"
"Unknown race","Male","06/08/2018","Kansas City","MO","2018"
"Black","Male","06/08/2018","Philadelphia","PA","2018"
"Black","Male","06/08/2018","Las Vegas","NV","2018"
"Unknown race","Male","06/08/2018","Okeechobee","FL","2018"
"Black","Male","06/08/2018","Atlanta","GA","2018"
"Native American","Male","05/08/2018","St. Paul","MN","2018"
"Unknown race","Male","05/08/2018","Hesperia","CA","2018"
"White","Male","05/08/2018","Van Buren","AR","2018"
"White","Male","04/08/2018","Liberty","MO","2018"
"White","Male","04/08/2018","Delray Beach","FL","2018"
"Unknown race","Male","04/08/2018","Las Vegas","NV","2018"
"Hispanic","Male","03/08/2018","Seville","FL","2018"
"White","Male","03/08/2018","Deer Park","WA","2018"
"Black","Male","03/08/2018","Pine Bluff","AR","2018"
"Unknown race","Male","03/08/2018","Ottumwa","IA","2018"
"White","Male","03/08/2018","Trumann","AR","2018"
"White","Male","03/08/2018","Las Cruces","NM","2018"
"White","Male","03/08/2018","Sunrise","FL","2018"
"Native American","Male","02/08/2018","Saint Mary's","AK","2018"
"White","Male","02/08/2018","Apopka","FL","2018"
"Black","Male","02/08/2018","Shreveport","LA","2018"
"Hispanic","Male","02/08/2018","Westminster","CO","2018"
"Black","Male","01/08/2018","Oxon Hill","MD","2018"
"Hispanic","Male","01/08/2018","Hereford","TX","2018"
"Black","Male","01/08/2018","Yale","VA","2018"
"Unknown race","Male","01/08/2018","Pleasanton","CA","2018"
"White","Male","31/07/2018","Phoenix","AZ","2018"
"White","Male","31/07/2018","Tucson","AZ","2018"
"Black","Male","30/07/2018","Luxora","AR","2018"
"White","Male","30/07/2018","Aurora","CO","2018"
"White","Male","28/07/2018","Aberdeen","NC","2018"
"Unknown race","Male","28/07/2018","Pilot Point","TX","2018"
"White","Male","28/07/2018","Pineville","LA","2018"
"Hispanic","Male","28/07/2018","Allentown","PA","2018"
"Unknown race","Male","28/07/2018","Denver","CO","2018"
"Black","Male","27/07/2018","Toledo","OH","2018"
"Hispanic","Male","27/07/2018","Los Angeles","CA","2018"
"Black","Female","27/07/2018","Savannah","GA","2018"
"Hispanic","Male","26/07/2018","Kent","WA","2018"
"Unknown race","Male","26/07/2018","Social Circle","GA","2018"
"Black","Male","26/07/2018","Nashville","TN","2018"
"White","Male","26/07/2018","Springdale","AR","2018"
"White","Male","26/07/2018","Lakemoor","IL","2018"
"Pacific Islander","Male","26/07/2018","Waianae","HI","2018"
"Hispanic","Male","26/07/2018","Redondo Beach","CA","2018"
"Hispanic","Male","25/07/2018","Amarillo","TX","2018"
"Black","Male","25/07/2018","Memphis","TN","2018"
"White","Male","25/07/2018","La Follette","TN","2018"
"White","Male","25/07/2018","Lake Havasu City","AZ","2018"
"White","Male","25/07/2018","Spokane","WA","2018"
"Black","Male","24/07/2018","Starke","FL","2018"
"White","Male","24/07/2018","Seaside","OR","2018"
"White","Female","24/07/2018","Soddy Daisy","TN","2018"
"Hispanic","Male","23/07/2018","Silver Spring","MD","2018"
"Hispanic","Male","23/07/2018","Burlington","NC","2018"
"White","Male","23/07/2018","Bristol","VA","2018"
"White","Male","22/07/2018","Colorado Springs","CO","2018"
"Hispanic","Male","22/07/2018","Highland","CA","2018"
"Hispanic","Male","22/07/2018","Riverside","CA","2018"
"White","Male","22/07/2018","Bixby","OK","2018"
"White","Male","21/07/2018","Tucson","AZ","2018"
"White","Male","21/07/2018","Toledo","OH","2018"
"Hispanic","Female","21/07/2018","Los Angeles","CA","2018"
"Hispanic","Male","21/07/2018","Fresno","CA","2018"
"Hispanic","Male","21/07/2018","Anaheim","CA","2018"
"Hispanic","Male","21/07/2018","Mesa","AZ","2018"
"White","Male","20/07/2018","Houston","TX","2018"
"Pacific Islander","Male","20/07/2018","Naalehu","HI","2018"
"White","Male","20/07/2018","Lady Lake","FL","2018"
"Hispanic","Male","20/07/2018","Riverside","CA","2018"
"Hispanic","Male","19/07/2018","Peoria","IL","2018"
"Hispanic","Male","19/07/2018","Pico Rivera","CA","2018"
"White","Male","19/07/2018","Louisville","KY","2018"
"Hispanic","Male","18/07/2018","Albuquerque","NM","2018"
"White","Male","18/07/2018","Fletcher","NC","2018"
"White","Male","18/07/2018","Pattison","TX","2018"
"Hispanic","Male","17/07/2018","Tucson","AZ","2018"
"White","Male","17/07/2018","Lenoir","NC","2018"
"Hispanic","Male","17/07/2018","Sparks","NV","2018"
"White","Male","17/07/2018","Altoona","IA","2018"
"Hispanic","Male","15/07/2018","Albuquerque","NM","2018"
"Black","Male","15/07/2018","Kansas City","MO","2018"
"Hispanic","Male","14/07/2018","Bloomington","CA","2018"
"White","Male","14/07/2018","Alvin","TX","2018"
"Black","Male","14/07/2018","Chicago","IL","2018"
"Black","Male","14/07/2018","Florence","SC","2018"
"Black","Male","14/07/2018","Vineland","NJ","2018"
"White","Male","13/07/2018","Excelsior","MN","2018"
"Hispanic","Male","13/07/2018","Dallas","TX","2018"
"Hispanic","Male","13/07/2018","Dilley","TX","2018"
"White","Male","13/07/2018","Riverview","FL","2018"
"White","Male","12/07/2018","Cottage Grove","OR","2018"
"Hispanic","Male","11/07/2018","Las Vegas","NV","2018"
"White","Female","11/07/2018","Willis","TX","2018"
"Hispanic","Male","11/07/2018","Los Banos","CA","2018"
"White","Male","10/07/2018","Garland","TX","2018"
"White","Male","10/07/2018","Hialeah","FL","2018"
"White","Male","10/07/2018","Casper","WY","2018"
"White","Male","08/07/2018","Tucson","AZ","2018"
"White","Male","08/07/2018","Grand Forks","ND","2018"
"Unknown race","Male","08/07/2018","Westminster","CA","2018"
"White","Male","07/07/2018","Jacksonville","FL","2018"
"White","Male","07/07/2018","Amity","OR","2018"
"Unknown race","Male","07/07/2018","Denver","CO","2018"
"Black","Male","06/07/2018","Overland Park","KS","2018"
"Native American","Male","06/07/2018","Copper Center","AK","2018"
"Hispanic","Female","05/07/2018","Tempe","AZ","2018"
"White","Male","05/07/2018","Eustis","FL","2018"
"Asian","Male","05/07/2018","Louisville","KY","2018"
"White","Male","05/07/2018","Devils Lake","ND","2018"
"White","Male","05/07/2018","San Andreas","CA","2018"
"Unknown race","Male","04/07/2018","Griffin","GA","2018"
"White","Male","04/07/2018","South Elgin","IL","2018"
"Native American","Male","04/07/2018","Pueblo","CO","2018"
"White","Male","03/07/2018","Wichita","KS","2018"
"Black","Male","03/07/2018","Chicago","IL","2018"
"Black","Male","03/07/2018","Fayetteville","NC","2018"
"Native American","Male","03/07/2018","Lawton","OK","2018"
"White","Male","01/07/2018","Panora","IA","2018"
"White","Male","01/07/2018","Boise","ID","2018"
"Pacific Islander","Male","01/07/2018","Grandview","MO","2018"
"Unknown race","Male","01/07/2018","Santa Ana","CA","2018"
"Black","Male","29/06/2018","Phoenix","AZ","2018"
"White","Male","29/06/2018","Lawrenceburg","TN","2018"
"White","Male","29/06/2018","North Pole","AK","2018"
"White","Male","29/06/2018","Waterford","MI","2018"
"Black","Male","29/06/2018","Portland","OR","2018"
"Black","Male","29/06/2018","Pomona","CA","2018"
"Hispanic","Male","29/06/2018","Aurora","CO","2018"
"White","Male","28/06/2018","Russellville","AR","2018"
"White","Male","28/06/2018","Dade City","FL","2018"
"White","Female","28/06/2018","Darien","GA","2018"
"White","Male","28/06/2018","South Daytona","FL","2018"
"White","Male","28/06/2018","Darien","GA","2018"
"Black","Male","27/06/2018","Aurora","CO","2018"
"White","Male","25/06/2018","Dallas","TX","2018"
"Unknown race","Male","25/06/2018","Prompton","PA","2018"
"Hispanic","Male","25/06/2018","Galveston","TX","2018"
"White","Male","25/06/2018","Grenada","MS","2018"
"Black","Male","23/06/2018","Monroe","LA","2018"
"Black","Male","23/06/2018","Minneapolis","MN","2018"
"Pacific Islander","Male","23/06/2018","Haleiwa","HI","2018"
"White","Male","23/06/2018","Coos Bay","OR","2018"
"White","Male","23/06/2018","Meridian","ID","2018"
"Unknown race","Male","23/06/2018","Centennial","CO","2018"
"Unknown race","Male","23/06/2018","San Diego","CA","2018"
"White","Male","22/06/2018","Albany","NY","2018"
"White","Male","22/06/2018","Harrisonburg","VA","2018"
"Black","Male","22/06/2018","Atlantic City","NJ","2018"
"White","Male","22/06/2018","Fairfield","OH","2018"
"Unknown race","Male","22/06/2018","Inglewood","CA","2018"
"Unknown race","Male","20/06/2018","Parma Heights","OH","2018"
"Black","Male","20/06/2018","Kingsland","GA","2018"
"White","Male","20/06/2018","Bend","OR","2018"
"Black","Male","19/06/2018","Stone Mountain","GA","2018"
"White","Male","19/06/2018","Tucumcari","NM","2018"
"White","Male","19/06/2018","Cumming","GA","2018"
"Black","Male","19/06/2018","East Pittsburgh","PA","2018"
"White","Male","18/06/2018","Akron","OH","2018"
"Black","Male","17/06/2018","Trenton","NJ","2018"
"Hispanic","Male","17/06/2018","South Salt Lake","UT","2018"
"Black","Male","16/06/2018","Warwick","NY","2018"
"Unknown race","Male","16/06/2018","Phoenix","AZ","2018"
"Hispanic","Male","16/06/2018","Van Nuys","CA","2018"
"White","Female","16/06/2018","Van Nuys","CA","2018"
"Hispanic","Male","16/06/2018","Albuquerque","NM","2018"
"Unknown race","Male","16/06/2018","Mesa","AZ","2018"
"White","Male","15/06/2018","Nokomis","IL","2018"
"Black","Male","14/06/2018","Las Vegas","NV","2018"
"White","Female","14/06/2018","Kansas City","MO","2018"
"Hispanic","Male","14/06/2018","Gainesville","GA","2018"
"Black","Male","14/06/2018","Kansas City","MO","2018"
"White","Male","14/06/2018","Kansas City","MO","2018"
"Hispanic","Male","14/06/2018","Kirkland","WA","2018"
"Unknown race","Female","14/06/2018","Denver","CO","2018"
"Unknown race","Male","13/06/2018","Denver","CO","2018"
"White","Male","13/06/2018","Piketon","OH","2018"
"White","Male","13/06/2018","Eustis","FL","2018"
"Black","Male","13/06/2018","Carencro","LA","2018"
"White","Female","13/06/2018","Trenton","OH","2018"
"Black","Male","12/06/2018","Washington","DC","2018"
"Black","Male","12/06/2018","Monroe","GA","2018"
"White","Male","12/06/2018","Hardwick","NJ","2018"
"Black","Male","12/06/2018","Danville","IL","2018"
"White","Male","12/06/2018","Phoenix","AZ","2018"
"Hispanic","Male","11/06/2018","Whittier","CA","2018"
"Black","Male","11/06/2018","Silver Spring","MD","2018"
"White","Male","10/06/2018","Westminster","CO","2018"
"White","Male","09/06/2018","Temple","TX","2018"
"Black","Female","09/06/2018","Deptford","NJ","2018"
"Hispanic","Male","09/06/2018","Los Angeles","CA","2018"
"White","Male","08/06/2018","Hardwick","NJ","2018"
"White","Male","08/06/2018","Canton","MS","2018"
"White","Female","07/06/2018","Austin","TX","2018"
"Black","Male","07/06/2018","Gary","IN","2018"
"White","Male","07/06/2018","Albuquerque","NM","2018"
"White","Male","07/06/2018","Benton City","WA","2018"
"Black","Male","06/06/2018","Chicago","IL","2018"
"White","Male","06/06/2018","Red Bluff","CA","2018"
"White","Male","06/06/2018","Sunbury","OH","2018"
"White","Male","06/06/2018","Lagrange","GA","2018"
"Hispanic","Male","06/06/2018","Merrick","NY","2018"
"Hispanic","Male","05/06/2018","Pearland","TX","2018"
"White","Male","04/06/2018","Ogden","NC","2018"
"White","Male","04/06/2018","Springfield","MO","2018"
"Hispanic","Male","03/06/2018","Riverside","CA","2018"
"Unknown race","Male","03/06/2018","Mecca","CA","2018"
"Hispanic","Male","03/06/2018","Pocasset","OK","2018"
"Black","Male","02/06/2018","Macon","GA","2018"
"Black","Male","02/06/2018","Chicago","IL","2018"
"Hispanic","Male","01/06/2018","Torrance","CA","2018"
"Pacific Islander","Male","01/06/2018","Waipahu","HI","2018"
"Hispanic","Male","01/06/2018","Winter Haven","FL","2018"
"Black","Male","31/05/2018","Thomasville","NC","2018"
"White","Female","31/05/2018","Fullerton","CA","2018"
"Hispanic","Male","31/05/2018","Dinuba","CA","2018"
"Black","Male","30/05/2018","Homestead","FL","2018"
"Hispanic","Male","30/05/2018","Los Angeles","CA","2018"
"Native American","Male","29/05/2018","Phoenix","AZ","2018"
"White","Male","29/05/2018","Cottonwood Heights","UT","2018"
"Hispanic","Male","29/05/2018","Riverbank","CA","2018"
"White","Male","28/05/2018","Taylorsville","UT","2018"
"Hispanic","Male","27/05/2018","San Diego","CA","2018"
"White","Male","27/05/2018","Grand Junction","CO","2018"
"Unknown race","Male","27/05/2018","Everton","MO","2018"
"White","Male","26/05/2018","Silsbee","TX","2018"
"Unknown race","Male","25/05/2018","","ID","2018"
"Hispanic","Male","25/05/2018","Lubbock","TX","2018"
"White","Male","25/05/2018","Stagecoach","TX","2018"
"Hispanic","Male","25/05/2018","Dumas","TX","2018"
"White","Male","24/05/2018","Citra","FL","2018"
"White","Male","24/05/2018","Cleveland","OH","2018"
"White","Male","24/05/2018","Fort Morgan","CO","2018"
"White","Male","23/05/2018","Neenah","WI","2018"
"White","Female","23/05/2018","Gurnee","IL","2018"
"Hispanic","Female","23/05/2018","Laredo","TX","2018"
"Black","Male","23/05/2018","Tallahassee","FL","2018"
"Hispanic","Male","22/05/2018","Mathis","TX","2018"
"White","Female","21/05/2018","Joshua Tree","CA","2018"
"White","Male","21/05/2018","Joshua Tree","CA","2018"
"White","Male","21/05/2018","West Melbourne","FL","2018"
"Black","Male","21/05/2018","West Memphis","AR","2018"
"White","Male","20/05/2018","Columbus","OH","2018"
"White","Male","20/05/2018","Baxter","KY","2018"
"Hispanic","Male","19/05/2018","Pueblo","CO","2018"
"White","Male","19/05/2018","Carson City","NV","2018"
"White","Male","18/05/2018","Gresham","OR","2018"
"Unknown race","Male","18/05/2018","Livonia","MI","2018"
"Hispanic","Male","18/05/2018","Laredo","TX","2018"
"White","Male","17/05/2018","Norman","OK","2018"
"White","Male","16/05/2018","Martins Ferry","OH","2018"
"White","Male","15/05/2018","Lake Mary","FL","2018"
"Black","Male","14/05/2018","Clinton","MD","2018"
"Hispanic","Male","14/05/2018","San Antonio","TX","2018"
"White","Male","14/05/2018","Quincy","IL","2018"
"White","Male","14/05/2018","Wales","ME","2018"
"White","Male","14/05/2018","Royal Oak","MI","2018"
"Black","Male","14/05/2018","Richmond","VA","2018"
"Unknown race","Male","13/05/2018","Dearborn Heights","MI","2018"
"Unknown race","Male","13/05/2018","Carnesville","GA","2018"
"Unknown race","Male","13/05/2018","Forest Park","GA","2018"
"Black","Male","13/05/2018","Portsmouth","VA","2018"
"White","Male","13/05/2018","Amite","LA","2018"
"White","Male","12/05/2018","Columbus","OH","2018"
"Native American","Male","11/05/2018","Blackfoot","ID","2018"
"White","Male","11/05/2018","Haughton","LA","2018"
"White","Male","11/05/2018","Evansville","IN","2018"
"White","Male","11/05/2018","Talihina","OK","2018"
"Unknown race","Male","11/05/2018","Granton","WI","2018"
"White","Male","10/05/2018","New Kensington","PA","2018"
"White","Male","10/05/2018","Morristown","TN","2018"
"Black","Male","09/05/2018","Jackson","MS","2018"
"Unknown race","Male","08/05/2018","Mesa","AZ","2018"
"Unknown race","Male","08/05/2018","Tucson","AZ","2018"
"Hispanic","Male","08/05/2018","Greeley","CO","2018"
"White","Male","08/05/2018","Lancaster","PA","2018"
"White","Male","08/05/2018","Glade Spring","VA","2018"
"White","Male","07/05/2018","Tulsa","OK","2018"
"White","Male","07/05/2018","Hackett","AR","2018"
"Hispanic","Female","07/05/2018","Yuma","AZ","2018"
"White","Male","07/05/2018","Appleton","WI","2018"
"White","Female","07/05/2018","Rome","GA","2018"
"Unknown race","Male","07/05/2018","Johnston","SC","2018"
"Hispanic","Male","07/05/2018","Orlando","FL","2018"
"Black","Male","06/05/2018","East Point","GA","2018"
"White","Male","06/05/2018","Casper","WY","2018"
"White","Male","06/05/2018","Seminole","OK","2018"
"White","Male","06/05/2018","Fairview","OH","2018"
"Hispanic","Male","06/05/2018","Los Angeles","CA","2018"
"White","Male","05/05/2018","Dayton","OH","2018"
"Unknown race","Male","05/05/2018","Tempe","AZ","2018"
"Unknown race","Male","05/05/2018","San Antonio","TX","2018"
"White","Female","05/05/2018","Aurora","MO","2018"
"White","Male","04/05/2018","Terre Haute","IN","2018"
"Unknown race","Male","04/05/2018","Oakfield","ME","2018"
"Hispanic","Male","03/05/2018","Orosi","CA","2018"
"White","Male","03/05/2018","Sandia","TX","2018"
"Black","Male","02/05/2018","Columbus","GA","2018"
"White","Male","02/05/2018","Liberty","NC","2018"
"Black","Male","02/05/2018","Dallas","TX","2018"
"Hispanic","Male","02/05/2018","Kansas City","KS","2018"
"White","Male","02/05/2018","Box Elder","SD","2018"
"White","Male","01/05/2018","League City","TX","2018"
"Unknown race","Male","01/05/2018","San Antonio","TX","2018"
"Unknown race","Male","01/05/2018","Quartzsite","AZ","2018"
"White","Male","30/04/2018","Franklin","NC","2018"
"Black","Male","30/04/2018","Columbus","OH","2018"
"White","Male","29/04/2018","Moorland","IA","2018"
"White","Male","29/04/2018","Shreveport","LA","2018"
"White","Male","29/04/2018","Redlands","CA","2018"
"Hispanic","Male","28/04/2018","Elk Grove","CA","2018"
"Unknown race","Male","28/04/2018","Shelby Charter Township","MI","2018"
"Black","Female","28/04/2018","Johns Creek","GA","2018"
"White","Male","28/04/2018","Casselberry","FL","2018"
"White","Male","28/04/2018","Denver","CO","2018"
"Unknown race","Male","26/04/2018","Vernon","TX","2018"
"White","Female","26/04/2018","Oroville","CA","2018"
"White","Male","25/04/2018","Denver","CO","2018"
"White","Male","25/04/2018","Colorado Springs","CO","2018"
"Black","Male","25/04/2018","Louisville","KY","2018"
"White","Male","25/04/2018","Phoenix","AZ","2018"
"Black","Male","24/04/2018","Louisville","KY","2018"
"Hispanic","Male","24/04/2018","San Antonio","TX","2018"
"Unknown race","Male","24/04/2018","Amarillo","TX","2018"
"Black","Male","23/04/2018","Grand Prairie","TX","2018"
"White","Male","22/04/2018","West Olive","MI","2018"
"Hispanic","Male","22/04/2018","Louisville","KY","2018"
"Black","Male","21/04/2018","Memphis","TN","2018"
"White","Male","21/04/2018","Boone","IA","2018"
"Unknown race","Male","21/04/2018","Seligman","AZ","2018"
"White","Male","20/04/2018","Mackinaw","IL","2018"
"Black","Male","20/04/2018","Orlando","FL","2018"
